"Kunstner","Titel","Katalognr","Selskab","Format","Pris","Webshop pris","Status","Produkt-ID","Kasse","Oprettelsesdato","Lager","EAN","Sti"
"1000LAX","1000LAX","FREEMV1","Free Movement","LP","60,00 kr.","120,00 kr.","Aktiveret","1634","","08-08-2014","6","5707471022856","http://rillbar.dk/sites/default/files/images/1000LAX.jpg"
"127","Magnitizdat (Songs of Terror & Hope)","PHI011","Phisteria","10""EP","55,00 kr.","110,00 kr.","Aktiveret","1635","","08-08-2014","0","5709498206141","http://rillbar.dk/sites/default/files/PHI011_-_127blue_gif_300x306_crop_upscale_q95.jpg"
"3 Avantis + 1","S/T","ESC69","Escho","LP","75,00 kr.","140,00 kr.","Aktiveret","2924","","12-01-2017","10","N/A",""
"3eme Sexe","Je T’aime Si Vous Voulez","ASM031","All Score","CD","75,00 kr.","150,00 kr.","Aktiveret","1636","34","08-08-2014","12","4015698266924","http://rillbar.dk/sites/default/files/3emesexe_jetaime_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"A Classic Education","Call It Blazing","fir.y09","Tannen Records","LP","75,00 kr.","150,00 kr.","Aktiveret","2538","","29-09-2014","2","N/A",""
"A Hound Ensemble","S/T","NA90","A Hound Ensemble","LP","75,00 kr.","150,00 kr.","Aktiveret","1637","","08-08-2014","2","N/A","http://www.youtube.com/watch?v=cnCAtlBVpRs"
"A Hound Ensemble","S/T","NA90","A Hound Ensemble","LP","75,00 kr.","150,00 kr.","Aktiveret","1637","","08-08-2014","2","N/A","http://rillbar.dk/sites/default/files/images/ahoundensemblecover.jpg"
"A Key Is A Key (USB-nøgle)","LONG LONG SLOW SLOW","AKEY1201","Silent Atoms","USB-nøgle","75,00 kr.","150,00 kr.","Aktiveret","2674","","25-05-2015","48","5707471024386","http://rillbar.dk/sites/default/files/images/akeyisakey.jpg"
"A Tree Of Night","A Tree Of Night","ORPH018","Orpheus Records","LP","75,00 kr.","150,00 kr.","Aktiveret","1638","","08-08-2014","1","N/A","http://rillbar.dk/sites/default/files/images/a_tree_of_night.png"
"Abraham (CD)","The Serpent, The Prophet & The Whore","PEL 021","Pelagic Records","CD","56,25 kr.","110,00 kr.","Aktiveret","2477","","15-09-2014","6","4024572555665","http://rillbar.dk/sites/default/files/images/Abraham_SPW_frontcover_digital.jpg"
