"Titel","Album titel","Brødtekst","SKU","Pris","Udgivet","Sti"
"1000LAX","1000LAX"," <p>Punk er en følelse, et instinkt. Punk er en måde at gå til verden på. Punk var Jönssons mor, da hun som lille pige drillende råbte »Polis, polis, potatisgris« efter politiet i Skåne. Det har Jönsson skrevet en sang om. Jönssons mor er lige så gammel som Patti Smith. Og hun er svensker. Hendes søn synger om at være lige ved og næsten, hverken eller svensk eller dansk. Om at være mellem Sverige og Danmark, solen og månen, livet og døden. Livet er et umuligt projekt, har Jönsson erkendt. »Varje dag er en kampdag,« som han synger. Så han vælger sine kampe med omhu. »Varje gång vi knullar, knullar vi systemet«. Det synger han også. Som en Don Quixote fra Øresund står han i spidsen for 1000LAX, et tight, spraglet og rasende poetisk punkband, der spiller det, de selv kalder hard korv.</p>
<p>Superenergisk hillbilly rock’n’roll med referencer til Joy Division, The Doors og Iggy Pop. Bandet består af Ronny Maxe på trommer, Karlsson på bas og Petter Rebelli på guitar. 1. februar 2012 udkommer gruppens debut album på LP og download.</p>
<p>For mere info: <a href=""http://www.1000LAX.com"">www.1000LAX.com</a></p>
 ","FREEMV1","6000","1","http://rillbar.dk/sites/default/files/images/1000LAX.jpg"
"127","Magnitizdat (Songs of Terror & Hope)"," <p>Det var med erklæret stolthed at Phisteria udgav denne første officielle udgivelse med det iranske world-punk band 127. Med udgangspunkt i hovedstaden Teheran blev 5-mandsbandet grundlagt omkring årtusindeskiftet og blev hurtigt en del af den Iranske progressive kulturelle forandring. 127 har stærke rødder i traditionel iransk musik blandet med folk, rock, jazz, alternativ og eksperimenterende musik - og fik ord med på vejen såsom ""storslået, smukt, patetisk, følsomt"" (Geiger) og ""worldpunk - leveret med nerve og intensitet"" (The Guardian).</p>
 ","PHI011","5500","1","http://rillbar.dk/sites/default/files/PHI011_-_127blue_gif_300x306_crop_upscale_q95.jpg"
"3eme Sexe","Je T’aime Si Vous Voulez"," <p>3EME SEXE sætter nye lydspor til elektro-poppen. Med inspiration fra 60'er pigtråd, flirtende 70'er pop, Yé-Yé, Fransk Chanson, skaber 3EME SEXE et personligt og anarkistisk univers. 3EME SEXE blander elektroniske beats og lydeffekter med analog synth og antik rytmebox (absolut kun håndspillet originalt vintage-udstyr), sprød rock 'n' roll guitar, og fransk / tysk / engelsk stewardesse vokal. Bag 3EME SEXE står musiker, komponist og producer JUSTIN SCHOENING bla. kendt fra tidligere projekter som BEAT ME UP BABY, LES TRISTES, etc samt fra diverse elektroniske club-acts: GEEZA, DEFF JAGUAR, BEN HORN, DJUMA SOUND SYSTEM etc og sit samarbejde med MUSIC FOR DREAMS. Med sig har han CHRISTELLE PARIS (vokal/recitation) og LOLA RENAULT (guitar). ALLSCORE & 3EME SEXE glæder sig til at præsentere det kommende album “Je t’aime si vous voulez” der inkluderer de 2 singletracks “Fire in your eyes” & “Je t’aime si vous voulez” placeret på ZENTROPAs tv-serie BLEKINGEGADE 2009/2010. Albummet er produceret af JUSTIN SCHOENING, indspillet og mixet i 2009 - 2010 af JUSTIN i hans lo-fi retro studie YELLOW SOUND STEREO. Albummet er executivt produceret af CHRISTINA PALMEGAARD og masteret af 3EME SEXE & THOMAS BON DE GAARD i FUNKWERK Studie.</p>
 ","ASM031","7500","1","http://rillbar.dk/sites/default/files/3emesexe_jetaime_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"A Hound Ensemble","S/T"," <p>Trioen A Hound Ensembles selvbetitlede debutalbum er et unikt virvar af skrigende postpunk, udsyret bastung surf, kæphøj krautdisco og rablende vokallinjer. Lyden er rå, groovy og kompromisløst insisterende. A Hound Ensemble startede ud som et 8 mand stort støjensemble, men efter en spontant nedskrællet triokoncert på Glasgow School of Art åbenbarede bandets tre grundlæggere (Simon Madsen, Tim Panduro, Rune Rene Hansen) hvad der var kernen i deres musik. Ved at presse guitar, bas og trommer til det yderste begyndte de tre indspilningerne til debutpladen med en ambition om at tilføre punkmusik en ny betydning. A Hound Ensemble har selv indspillet og udgivet pladen og har haft fuld kunstnerisk frihed uden indblanding fra branche.</p>
 ","NA90","7500","1","http://www.youtube.com/watch?v=cnCAtlBVpRs"
"A Hound Ensemble","S/T"," <p>Trioen A Hound Ensembles selvbetitlede debutalbum er et unikt virvar af skrigende postpunk, udsyret bastung surf, kæphøj krautdisco og rablende vokallinjer. Lyden er rå, groovy og kompromisløst insisterende. A Hound Ensemble startede ud som et 8 mand stort støjensemble, men efter en spontant nedskrællet triokoncert på Glasgow School of Art åbenbarede bandets tre grundlæggere (Simon Madsen, Tim Panduro, Rune Rene Hansen) hvad der var kernen i deres musik. Ved at presse guitar, bas og trommer til det yderste begyndte de tre indspilningerne til debutpladen med en ambition om at tilføre punkmusik en ny betydning. A Hound Ensemble har selv indspillet og udgivet pladen og har haft fuld kunstnerisk frihed uden indblanding fra branche.</p>
 ","NA90","7500","1","http://rillbar.dk/sites/default/files/images/ahoundensemblecover.jpg"
"A Tree Of Night","A Tree Of Night"," <p>Det er altid lidt ligesom juleaften når ORPHEUS RECORDS sender noget nyt på gaden: man glæder sig og ved sådan nogenlunde hvad der er i pakken, men mad ved aldrig helt hvad der er man får. I modsætning til juleaften bliver man dog aldrig skuffet! Heller ikke denne gang med A TREE OF NIGHT der er en omgang tung psykedelisk rock fra Helsingørs kreative undergrundsscene. A Tree Of Night er Bo Hills skjulested når han spiller sine kosmisk svævende, men ekstraordinære sange, der består af spiraler af elektrisk ekko-slide-fuzzguitarer, spanske akkorder, flydende orgel, saxofon (!!) og en yderst sparsom men solid rytmesektion. Nedenunder det hele sejler et elektronisk tæppe af kradsende lydkollager og stumper af for længst glemte trips. Det hele krydret med mundharmonika i bedste DOWNERFOLK tradition. Bo Hill har en fortid i STONER-ROCK og mere eksperimenterende rock og det kan høres. Det lyder dog som altid af Orpheus Records.</p>
 ","ORPH018","7500","1","http://rillbar.dk/sites/default/files/images/a_tree_of_night.png"
"Acid Plutonium","Acid Plutonium"," <p>Århusianske ACID PLUTONIUM!s selvbetitlede debutplade er inspireret af en lyst til at bryde ud af gængse kompositionsrammer og ind i et skævt musikalsk univers, hvor alt kan ske. Dette univers er kendetegnet ved komplekse strukturer, skizofreni, corny brudstykker fra glemte tider, og spænder over et utal af genrer. Sommetider er lydbilledet vildt og støjende, og andre gange blidt og smukt. Musikken kan både være langsom og hypnotiserende, men kan også opleves som en musikalsk rutsjebanetur, hvor du knapt kan nå at orientere dig i ét lydunivers, før du allerede er videre til det næste. ACID PLUTONIUM! tager arven fra Frank Zappa, Mr. Bungle og John Zorn’s Naked City op, og fører den videre på deres helt egen originale måde. <a href=""http://www.myspace.com/acidplutonium"">www.myspace.com/acidplutonium</a></p>
 ","ACID01","7500","1","http://rillbar.dk/sites/default/files/acidplutonium_st_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Aerosol","Airborne"," <p>Airborne er andet album fra Rasmus Elm Rasmussens Aerosol-projekt. Som medlem af post-rock bandet Limp (Morr Music) har Rasmus, i fællesskab med bandkammeraterne Jonas Munk (manual), Jakob Skøtt (syntaks) og Jess Kahr, været med til at introducere en særlig lyd, som de fire har plejet og rendyrket i hvert deres soloprojekt. Aerosol-projektet har eksisteret siden 2000. Første EP blev udgivet på det franske selskab Active Suspension i 2001. Siden er fulgt en række compilation-bidrag og remixes på internationale pladeselskaber, suppleret med koncerter i ind og udland. Kun et enkelt album er det dog indtil videre blevet til – All that is Solid melts in to Air på det engelske Unlabel i 2006. Med Airborne er opfølgeren efter lang tids arbejde endelig klar. Rasmussens tilgang til den sol-vædede post-shoegaze-lyd, som er fælles for hele limpkollektivet, har et klart defineret psykedelisk præg samt en åben og drømmende atmosfære. Den skærpede fornemmelse af bevidsthedsudvidelse er dog aldrig fortænkt eller overdreven. I stedet rummer Airborne en stærk selvbevidsthed, som kommer fuldt til udtryk i den svimlende og langsomt fortærende ""Psychedelic Coffee Buzz"".</p>
<p>En sang baseret på en tur igennem Morokko, der med stor sikkerhed har inkluderet rigelige doser søvnunderskud, solopgange og selvfølgelig spandevis af kaffe. Numre som det indledende ""Midnight Ride Down the Mental Freeway"" og det afsluttende ""Softly Slipping"" er ekstatisk blændende electronicashoegaze med sydende rytmik, glimtende guitarer, luftige synthesizer-figurer samt insisterende akustiske guitarlinjer. Airborne er en personlig lytteoplevelse af de bedste. Hver sang er et landskab og hvert af disse tågede landskaber har sin helt egen historie. Læn dig tilbage og flyv med.</p>
 ","CATMD170","7500","1","http://rillbar.dk/sites/default/files/aerosol_airborne_300w_web_jpg_300x306_crop_upscale_q95_0.jpg"
"Afenginn","Lux","","af02","10000","1","http://www.youtube.com/watch?v=vSjvzWDVWjE"
"Afenginn","Lux","","af02","10000","1","http://rillbar.dk/sites/default/files/afenginn.jpg"
