"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"1000LAX","1000LAX","FREEMV1","60,00 kr.","1","http://rillbar.dk/sites/default/files/images/1000LAX.jpg","1000LAX-1000LAX","3029","<a href=""/da/lp"">LP</a>"
"127","Magnitizdat (Songs of Terror & Hope)","PHI011","55,00 kr.","1","http://rillbar.dk/sites/default/files/PHI011_-_127blue_gif_300x306_crop_upscale_q95.jpg","127-Magnitizdat (Songs of Terror & Hope)","3030","<a href=""/da/10ep"">10""EP</a>"
"3eme Sexe","Je T’aime Si Vous Voulez","ASM031","75,00 kr.","1","http://rillbar.dk/sites/default/files/3emesexe_jetaime_300w_web_jpg_300x306_crop_upscale_q95.jpg","3eme Sexe-Je T’aime Si Vous Voulez","3031","<a href=""/da/cd"">CD</a>"
"A Hound Ensemble","S/T","NA90","75,00 kr.","1","http://www.youtube.com/watch?v=cnCAtlBVpRs","A Hound Ensemble-S/T","3032","<a href=""/da/lp"">LP</a>"
"A Hound Ensemble","S/T","NA90","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/ahoundensemblecover.jpg","A Hound Ensemble-S/T","3032","<a href=""/da/lp"">LP</a>"
"A Tree Of Night","A Tree Of Night","ORPH018","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/a_tree_of_night.png","A Tree Of Night-A Tree Of Night","3033","<a href=""/da/lp"">LP</a>"
"Acid Plutonium","Acid Plutonium","ACID01","75,00 kr.","1","http://rillbar.dk/sites/default/files/acidplutonium_st_300w_web_jpg_300x306_crop_upscale_q95.jpg","Acid Plutonium-Acid Plutonium","3034","<a href=""/da/lp"">LP</a>"
"Aerosol","Airborne","CATMD170","75,00 kr.","1","http://rillbar.dk/sites/default/files/aerosol_airborne_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","Aerosol-Airborne","3035","<a href=""/da/cd"">CD</a>"
"Afenginn","Lux","af02","100,00 kr.","1","http://www.youtube.com/watch?v=vSjvzWDVWjE","Afenginn-Lux","3036","<a href=""/da/lp"">LP</a>"
"Afenginn","Lux","af02","100,00 kr.","1","http://rillbar.dk/sites/default/files/afenginn.jpg","Afenginn-Lux","3036","<a href=""/da/lp"">LP</a>"
"Agent Fresco","A Long Time Listening","RECD009","60,00 kr.","1","","Agent Fresco-A Long Time Listening","3037","<a href=""/da/cd"">CD</a>"
"Ajuna","Death In The Shape Of Winter EP","NA76","50,00 kr.","1","http://rillbar.dk/sites/default/files/Ajuna.jpg","Ajuna-Death In The Shape Of Winter EP","3038","<a href=""/da/lp"">LP</a>"
"ALARM 112","ALARM 112","AACD 1005","50,00 kr.","1","http://rillbar.dk/sites/default/files/alarm112_cdcover.jpg","ALARM 112-ALARM 112","3039","<a href=""/da/cd"">CD</a>"
"Alcoholic Faith Mission","421 Wythe Avenue","PONY21CD","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_421wytheavenue_300w_web_jpg_300x306_crop_upscale_q95_1.jpg","Alcoholic Faith Mission-421 Wythe Avenue","3042","<a href=""/da/cd"">CD</a>"
"Alcoholic Faith Mission","Let This Be The Last Night We Care","PONY29CD","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg","Alcoholic Faith Mission-Let This Be The Last Night We Care","3044","<a href=""/da/cd"">CD</a>"
"Alcoholic Faith Mission","Let This Be The Last Night We Care","PONY29LP","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg","Alcoholic Faith Mission-Let This Be The Last Night We Care","3044","<a href=""/da/lp"">LP</a>"
"Alcoholic Faith Mission","We Stop The World From Falling Apart","HPR-081","75,00 kr.","1","http://rillbar.dk/sites/default/files/AFM_Cover_2500x2500_300dpi.jpg","Alcoholic Faith Mission-We Stop The World From Falling Apart","3043","<a href=""/da/cd"">CD</a>"
"Alcoholic Faith Mission","Ask Me This","Pony36LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/alcoholicASKMETHIS.jpg","Alcoholic Faith Mission-Ask Me This","3040","<a href=""/da/lp"">LP</a>"
"Alex Banks","Illuminate","MTR043LP","90,00 kr.","1","http://www.youtube.com/watch?v=Cw3dJC5ZBWs","Alex Banks-Illuminate","3045","<a href=""/da/2-x-lp"">2 x LP</a>"
"Alex Banks","Illuminate","MTR043LP","90,00 kr.","1","http://rillbar.dk/sites/default/files/alex_banks_1.jpg","Alex Banks-Illuminate","3045","<a href=""/da/2-x-lp"">2 x LP</a>"
"Amalie Riis","Safe and Sound","SCM005","81,25 kr.","1","http://rillbar.dk/sites/default/files/amalieriis_safeandsound_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","Amalie Riis-Safe and Sound","3046","<a href=""/da/cd"">CD</a>"
"Amalie Riis","Blueprint","SCM017","40,00 kr.","1","http://rillbar.dk/sites/default/files/images/amalie_riis_blueprint.jpg","Amalie Riis-Blueprint","3047","<a href=""/da/cd"">CD</a>"
"Amazing, The","The Amazing","XMLPSUB34","100,00 kr.","1","http://rillbar.dk/sites/default/files/theamazing_st_300w_web__jpg_300x306_crop_upscale_q95.jpg","Amazing, The-The Amazing","3049","<a href=""/da/lp"">LP</a>"
"Amazing, The","Wait For A Light To Come","SUB069LP","95,00 kr.","1","http://rillbar.dk/sites/default/files/amazingwait.jpg","Amazing, The-Wait For A Light To Come","3048","<a href=""/da/lp"">LP</a>"
"Amazing, The","Wait For A Light To Come","FP0048","60,00 kr.","1","","Amazing, The-Wait For A Light To Come","3553","<a href=""/da/cd"">CD</a>"
"Amazing, The","Deportation Day","FP0038","10,00 kr.","1","","Amazing, The-Deportation Day","3551","<a href=""/da/cd"">CD</a>"
"Amazing, The","Dragon","FP00xx01","10,00 kr.","1","","Amazing, The-Dragon","3554","<a href=""/da/cd"">CD</a>"
"Amazing, The","The Amazing","FP0035","60,00 kr.","1","","Amazing, The-The Amazing","3552","<a href=""/da/cd"">CD</a>"
"Amdi Petersens Armé","S/T","HS17-LP","81,25 kr.","1","","Amdi Petersens Armé-S/T","3050","<a href=""/da/lp"">LP</a>"
"American Football","American Football","PRC-025LP","70,00 kr.","1","http://rillbar.dk/sites/default/files/AmericanFootball.jpg","American Football-American Football","3051","<a href=""/da/lp-mp3"">LP + MP3</a>"
"Anchorless","Anchorless","PONY30LP","40,00 kr.","1","http://rillbar.dk/sites/default/files/anchorless_anchorless_300w_web_jpg_300x306_crop_upscale_q95.jpg","Anchorless-Anchorless","3052","<a href=""/da/12ep"">12""EP</a>"
"Anchorless","Every Nook and Cranny","PlayRec 41","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/anchorless_playrec41_hires.jpg","Anchorless-Every Nook and Cranny","3555","<a href=""/da/lp"">LP</a>"
"Anders","In The Dark Hours ","Kommun2-13","90,00 kr.","1","http://rillbar.dk/sites/default/files/anders.jpg","Anders-In The Dark Hours ","3053","<a href=""/da/lp"">LP</a>"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne","AnthLP0112","75,00 kr.","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg","Anders Thrane-Lysets hær og de ulykkelige skabningers skæbne","3054","<a href=""/da/lp"">LP</a>"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne","AnthCD0112","53,00 kr.","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg","Anders Thrane-Lysets hær og de ulykkelige skabningers skæbne","3054","<a href=""/da/cd"">CD</a>"
"Anders Thrane","Ildsjael","AnthCD0109","63,00 kr.","0","http://rillbar.dk/sites/default/files/images/at_ildsjael.jpg","Anders Thrane-Ildsjael","3055","<a href=""/da/cd"">CD</a>"
"Anderskov Accident","Unity of Action","ILK106LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/anderskovaccident_unityofaction_300w_web_jpg_300x306_crop_upscale_q95.jpg","Anderskov Accident-Unity of Action","3057","<a href=""/da/lp"">LP</a>"
"Anderskov Accident"," Full Circle","ILK178LP","75,00 kr.","1","","Anderskov Accident- Full Circle","3556","<a href=""/da/12-lp"">12"" LP</a>"
"Andreas Führer","Obligatorisk undervisning","AF01","84,00 kr.","1","http://rillbar.dk/sites/default/files/andreasfuhrer.jpg","Andreas Führer-Obligatorisk undervisning","3058","<a href=""/da/12lp"">12""LP</a>"
