"Kunstner","Album titel","SKU","Nid","Format","attribute"
"Visitor Kane","Easy Concern","NA810","4407","12"" LP:1","Format:select:1"
"Hällas","Excerpts From A Future Past","CRC008","4406","12"" LP:1","Format:select:1"
"Peder","And He Just Pointed To The Sky","LSD014","4405","2 x LP:1","Format:select:1"
"SPEkTR","Excelsior","AGCRLP1704","4404","12"" LP:1","Format:select:1"
"Jeppe Højgaard","Gennem Glasset","GG03","4403","12"" LP:1","Format:select:1"
"Jeppe Højgaard","Skrig Hvis Du Har Lunger","Kontentum010","4402","12"" LP:1","Format:select:1"
"Diverse Kunstnere","Bettinas Badekar","DVP069","4401","12"" LP:1","Format:select:1"
"Stranger The Horse","Play It On The Tannoys","STH20161","4400","12"" LP:1","Format:select:1"
"FJÆSTAD & HELLEMANN Bros","SONGS OF JACOB ELK","ELK001","4399","CD:1","Format:select:1"
"Peter Peter and Peter Kyed presents","It's wonderful to be alive – PLEASE KILL ME NOW","ESC86","4398","2 x LP:1","Format:select:1"
"Tobias Elof","Ukulele Meditation","TAR1701","4396","12"" LP:1","Format:select:1"
"Tobias Elof","Ukulele Meditation","TE001","4396","CD:1","Format:select:1"
"Kvindebandet","S/T","KVNDBNDT03","4389","12"" LP:1","Format:select:1"
"Uffe Lorenzen","Galmandsværk","AFROLP052","4388","12"" LP:1","Format:select:1"
"Uffe Lorenzen","Galmandsværk","AFROCD052","4388","CD:1","Format:select:1"
"Stranger The Horse","Exit Cantina","STH2051","4387","12"" LP:1","Format:select:1"
"Sorte Fugle","Sorte Fugle II","NA854","4386","12""LP:1","Format:select:1"
"Dangers of the Sea","Our Place in History","NA853","4385","12"" LP:1","Format:select:1"
"Dangers of the Sea","Our Place in History","NA855","4385","CD:1","Format:select:1"
"The Lost Loves","Daddy Issues","NA852","4384","12"" LP:1","Format:select:1"
"Masasolo","At Sixes and Sevens","NA805","4383","12"" LP:1","Format:select:1"
"I Like To Sleep","Bedmonster","AGCRLP1703","4382","12"" LP:1","Format:select:1"
"Tidsgæst","Ind I Mellem","NA851","4381","12"" LP:1","Format:select:1"
"Arbirk","Disguises","NA850","4380","12"" LP:1","Format:select:1"
"Big Mess","'Try To Enjoy It","Indisc19","4379","12"" LP:1","Format:select:1"
"Dragontears ","Turn On Tune In Fuck Off!! ","AFROCD040","3210","CD:1","Format:select:1"
"Dragontears ","Turn On Tune In Fuck Off!! ","AFROLP040","3210","12"" LP:1","Format:select:1"
"Papa Kotji","Macho Drom","NA804","4378","12"" LP:1","Format:select:1"
"Bisse","19. 6. 87","BIZ07","4377","2 x 12"" + Booklet:1","Format:select:1"
"Bisse","19. 6. 87","MiniCD05","4377","CD:1","Format:select:1"
"Debre Damo Dining Orchestra","DDDO2","NA803","4376","12"" LP:1","Format:select:1"
"Virgin Suicide","Forever Trouble","NORDICLP175","4375","12"" LP:1","Format:select:1"
"The Attic Sleepers","Transit","NA802","4374","12"" LP:1","Format:select:1"
"Fred W.P.","with Merigold, Brothers Brown, Backdoor Red & Family Singers","NA801","4373","12"" LP:1","Format:select:1"
"Asger Baden & Peder","Furcula Episode 1","LSD013","4372","12"" LP:1","Format:select:1"
"Anders Holst","Shadow Ray","NA706","4370","12"" LP:1","Format:select:1"
