"Kunstner","Album titel","SKU","Nid","Format","attribute","Pris","Meta"
"Visitor Kane","Easy Concern","NA810","4407","12"" LP:1","Format:select:1","87,50 kr.","Visitor Kane-Easy Concern"
"Visitor Kane","Easy Concern","NA810","4407","12"" LP:1","Format:select:1","87,50 kr.","Visitor Kane-Easy Concern"
"Hällas","Excerpts From A Future Past","CRC008","4406","12"" LP:1","Format:select:1","95,00 kr.","Hällas-Excerpts From A Future Past"
"Peder","And He Just Pointed To The Sky","LSD014","4405","2 x LP:1","Format:select:1","120,00 kr.","Peder-And He Just Pointed To The Sky"
"Peder","And He Just Pointed To The Sky","LSD014","4405","2 x LP:1","Format:select:1","120,00 kr.","Peder-And He Just Pointed To The Sky"
"SPEkTR","Excelsior","AGCRLP1704","4404","12"" LP:1","Format:select:1","81,25 kr.","SPEkTR-Excelsior"
"Jeppe Højgaard","Gennem Glasset","GG03","4403","12"" LP:1","Format:select:1","75,00 kr.","Jeppe Højgaard-Gennem Glasset"
"Jeppe Højgaard","Skrig Hvis Du Har Lunger","Kontentum010","4402","12"" LP:1","Format:select:1","75,00 kr.","Jeppe Højgaard-Skrig Hvis Du Har Lunger"
"Diverse Kunstnere","Bettinas Badekar","DVP069","4401","12"" LP:1","Format:select:1","70,00 kr.","Diverse Kunstnere-Bettinas Badekar"
"Diverse Kunstnere","Bettinas Badekar","DVP069","4401","12"" LP:1","Format:select:1","70,00 kr.","Diverse Kunstnere-Bettinas Badekar"
"Stranger The Horse","Play It On The Tannoys","STH20161","4400","12"" LP:1","Format:select:1","87,50 kr.","Stranger The Horse-Play It On The Tannoys"
"FJÆSTAD & HELLEMANN Bros","SONGS OF JACOB ELK","ELK001","4399","CD:1","Format:select:1","75,00 kr.","FJÆSTAD & HELLEMANN Bros-SONGS OF JACOB ELK"
"FJÆSTAD & HELLEMANN Bros","SONGS OF JACOB ELK","ELK001","4399","CD:1","Format:select:1","75,00 kr.","FJÆSTAD & HELLEMANN Bros-SONGS OF JACOB ELK"
"Peter Peter and Peter Kyed presents","It's wonderful to be alive – PLEASE KILL ME NOW","ESC86","4398","2 x LP:1","Format:select:1","105,00 kr.","Peter Peter and Peter Kyed presents-It's wonderful to be alive – PLEASE KILL ME NOW"
"Peter Peter and Peter Kyed presents","It's wonderful to be alive – PLEASE KILL ME NOW","ESC86","4398","2 x LP:1","Format:select:1","105,00 kr.","Peter Peter and Peter Kyed presents-It's wonderful to be alive – PLEASE KILL ME NOW"
"Tobias Elof","Ukulele Meditation","TAR1701","4396","12"" LP:1","Format:select:1","90,00 kr.","Tobias Elof-Ukulele Meditation"
"Tobias Elof","Ukulele Meditation","TE001","4396","CD:1","Format:select:1","50,00 kr.","Tobias Elof-Ukulele Meditation"
"Kvindebandet","S/T","KVNDBNDT03","4389","12"" LP:1","Format:select:1","80,00 kr.","Kvindebandet-S/T"
"Kvindebandet","S/T","KVNDBNDT03","4389","12"" LP:1","Format:select:1","80,00 kr.","Kvindebandet-S/T"
"Uffe Lorenzen","Galmandsværk","AFROLP052","4388","12"" LP:1","Format:select:1","85,00 kr.","Uffe Lorenzen-Galmandsværk"
"Uffe Lorenzen","Galmandsværk","AFROLP052","4388","12"" LP:1","Format:select:1","85,00 kr.","Uffe Lorenzen-Galmandsværk"
"Uffe Lorenzen","Galmandsværk","AFROCD052","4388","CD:1","Format:select:1","75,00 kr.","Uffe Lorenzen-Galmandsværk"
"Uffe Lorenzen","Galmandsværk","AFROCD052","4388","CD:1","Format:select:1","75,00 kr.","Uffe Lorenzen-Galmandsværk"
"Stranger The Horse","Exit Cantina","STH2051","4387","12"" LP:1","Format:select:1","87,50 kr.","Stranger The Horse-Exit Cantina"
"Sorte Fugle","Sorte Fugle II","NA854","4386","12""LP:1","Format:select:1","100,00 kr.","Sorte Fugle-Sorte Fugle II"
